Sample,D_RT,O_RT,R_RT,C_RT,D_TT,O_TT,R_TT,D_Cont,O_Cont,R_Cont,C_Cont,D_Ins,O_Ins,R_Ins,C_Ins,D_JLA,R_JLA,O_JLA,C_JLA,D_all,D_Rel,D_RF,D_WCC,O_all,O_Rel,O_RF,O_WCC,R_all,R_Rel,R_RF,R_WCC,C_all,C_Rel,C_RF,C_WCC,Name
523,0.08974359,1,0.269230769,0.064102564,0.025641026,1.038461538,0.064102564,0.042056,0.030319,0.055044,0.035228,1,2,3,3,0.128637,0.107543,0.027699,0.410088,744,767,907,990,974,974,1000,1000,447,543,803,768,793,924,799,1000,perturbed
524,0.08974359,1,0.243589744,0.102564103,0.064102564,0.974358974,0.012820513,0.028075,0.056125,0.051687,0.000899,4,4,2,3,0.103102,0.094063,0.035656,0.428789,367,492,730,705,974,974,1000,1000,370,573,833,598,916,936,993,975,perturbed
525,0.141025641,1,0.282051282,0.128205128,0.064102564,1.038461538,0.076923077,0.028786,0.064263,0.057754,0.007889,4,2,4,3,0.118511,0.127706,0.02766,0.398297,374,411,951,811,978,978,1000,1000,428,497,808,791,796,838,982,940,perturbed
526,0.128205128,1,0.294871795,0.115384615,0.038461538,0.974358974,0.064102564,0.037717,0.066102,0.080983,0.032154,2,4,4,2,0.088307,0.095664,0.038233,0.351449,531,533,978,986,977,977,1000,1000,496,516,847,920,609,617,847,999,perturbed
527,0.102564103,1,0.294871795,0.115384615,0.064102564,1,0.064102564,0.004427,0.010067,0.037652,0.02383,4,3,2,1,0.138215,0.112196,0.045437,0.389879,49,475,840,55,979,979,1000,1000,417,512,845,706,808,811,969,1000,perturbed
528,0.076923077,1,0.269230769,0.102564103,0.038461538,0.961538462,0.051282051,0.058537,0.00577,0.057595,0.025813,5,2,3,2,0.090547,0.085173,0.034696,0.413909,595,640,759,978,974,974,1000,1000,434,519,818,770,902,906,986,1000,perturbed
529,0.115384615,1,0.256410256,0.128205128,0.038461538,0.961538462,0.076923077,0.020929,0.044885,0.01467,0.016926,4,3,3,3,0.095197,0.066037,0.015772,0.409106,368,554,956,550,978,978,1000,1000,114,479,753,190,867,870,991,994,perturbed
530,0.08974359,1,0.243589744,0.115384615,0.025641026,1,0.051282051,0.021645,0.001018,0.061451,0.038448,1,4,3,1,0.067823,0.078648,0.085866,0.354038,557,728,905,760,977,977,1000,1000,454,536,773,796,610,617,858,1000,perturbed
531,0.141025641,1,0.243589744,0.141025641,0.064102564,0.974358974,0.076923077,0.00487,0.039438,0.014726,0.00499,2,4,2,2,0.114986,0.103975,0.086573,0.419008,114,417,953,178,975,975,1000,1000,243,526,738,355,874,886,996,982,perturbed
532,0.102564103,1,0.307692308,0.064102564,0.025641026,1,0.076923077,0.064393,0.056548,0.077782,0.029953,3,2,3,2,0.139742,0.063415,0.017774,0.363247,739,742,982,997,974,974,1000,1000,403,405,860,935,519,764,526,999,perturbed
533,0.076923077,1,0.307692308,0.076923077,0.025641026,1.025641026,0.076923077,0.05393,0.017723,0.007253,0.005447,3,3,4,1,0.110834,0.131808,0.062511,0.382133,723,792,837,976,978,978,1000,1000,34,482,857,58,767,822,844,975,perturbed
534,0.153846154,1,0.294871795,0.115384615,0.012820513,0.961538462,0.012820513,0.055479,0.02241,0.055952,0.028306,3,3,2,2,0.13651,0.091455,0.03534,0.352885,788,815,997,967,978,978,1000,1000,375,530,907,647,602,609,853,1000,perturbed
535,0.102564103,1,0.269230769,0.115384615,0.025641026,1.025641026,0.064102564,0.067536,0.049448,0.049514,0.038307,3,4,2,3,0.099761,0.061424,0.034466,0.429286,726,728,960,999,979,979,1000,1000,418,450,800,858,931,931,996,1000,perturbed
536,0.08974359,1,0.307692308,0.141025641,0.038461538,1.025641026,0.038461538,0.078804,0.010663,0.009354,0.026971,3,2,1,1,0.089557,0.062304,0.089818,0.407321,596,618,833,1000,973,973,1000,1000,33,414,899,65,851,851,993,1000,perturbed
